parameter,parameter_canopy_group,response_variable,sensitivity_value,se_value,response_canopy_group
h_overstory,none,prop_c_mort,0,0,Upper Canopy
h_understory,none,prop_c_mort,0,0,Upper Canopy
k_mort_u,up,prop_c_mort,0.22039595119657876,0.039065727843728235,Upper Canopy
k_consumption,up,prop_c_mort,0.0399233072619127,0.01739373094953381,Upper Canopy
k1_mort_o,up,prop_c_mort,0.0763673258741637,0.014133704979491561,Upper Canopy
k2_mort_o,up,prop_c_mort,0.8300501274742861,0.05098173596123931,Upper Canopy
I',none,prop_c_mort,0.26898483348138225,0.04374544746405381,Upper Canopy
h_overstory,none,prop_mort_consumed,0,0,Upper Canopy
h_understory,none,prop_mort_consumed,0,0,Upper Canopy
k_mort_u,up,prop_mort_consumed,0.21865144873696635,0.03593548138973998,Upper Canopy
k_consumption,up,prop_mort_consumed,0.24070239155058915,0.03844953807680811,Upper Canopy
k1_mort_o,up,prop_mort_consumed,0.10240509066285658,0.01829330281889385,Upper Canopy
k2_mort_o,up,prop_mort_consumed,0.7655612712875659,0.05192533649283108,Upper Canopy
I',none,prop_mort_consumed,0.254778631328325,0.037539945492954786,Upper Canopy
h_overstory,none,prop_c_consumed,0,0,Upper Canopy
h_understory,none,prop_c_consumed,0,0,Upper Canopy
k_mort_u,up,prop_c_consumed,0.2837348313275965,0.04969195539158198,Upper Canopy
k_consumption,up,prop_c_consumed,0.13184182616464463,0.03219936615362154,Upper Canopy
k1_mort_o,up,prop_c_consumed,0.05982972235944087,0.021938108642013385,Upper Canopy
k2_mort_o,up,prop_c_consumed,0.8083470376150543,0.05494933267174393,Upper Canopy
I',none,prop_c_consumed,0.33556202655477674,0.047591411892356876,Upper Canopy
h_overstory,none,prop_c_remain,0,0,Upper Canopy
h_understory,none,prop_c_remain,0,0,Upper Canopy
k_mort_u,up,prop_c_remain,0.16089475639424147,0.04340483608533276,Upper Canopy
k_consumption,up,prop_c_remain,0.30421537328084636,0.05402486506134707,Upper Canopy
k1_mort_o,up,prop_c_remain,0.32221914372243327,0.04277552933067674,Upper Canopy
k2_mort_o,up,prop_c_remain,0.7615017528525099,0.05432702166025867,Upper Canopy
I',none,prop_c_remain,0.36460314544792033,0.04291165077035996,Upper Canopy
h_overstory,none,prop_c_mort,0,0,Lower Canopy
h_understory,none,prop_c_mort,0,0,Lower Canopy
k_mort_u,low,prop_c_mort,0.3608735051521777,0.041488310717917025,Lower Canopy
k_consumption,low,prop_c_mort,0,0,Lower Canopy
k1_mort_o,low,prop_c_mort,0,0,Lower Canopy
k2_mort_o,low,prop_c_mort,0,0,Lower Canopy
I',none,prop_c_mort,0.6871982604568245,0.06459656833757185,Lower Canopy
h_overstory,none,prop_mort_consumed,0,0,Lower Canopy
h_understory,none,prop_mort_consumed,0,0,Lower Canopy
k_mort_u,low,prop_mort_consumed,0.29425124974430483,0.03935833864182153,Lower Canopy
k_consumption,low,prop_mort_consumed,0.27543324595413954,0.03974322082209942,Lower Canopy
k1_mort_o,low,prop_mort_consumed,0,0,Lower Canopy
k2_mort_o,low,prop_mort_consumed,0,0,Lower Canopy
I',none,prop_mort_consumed,0.5471165899212012,0.05647330234010348,Lower Canopy
h_overstory,none,prop_c_consumed,0,0,Lower Canopy
h_understory,none,prop_c_consumed,0,0,Lower Canopy
k_mort_u,low,prop_c_consumed,0.3587744401278095,0.03802337779908988,Lower Canopy
k_consumption,low,prop_c_consumed,0.06905575162670627,0.01807813230941114,Lower Canopy
k1_mort_o,low,prop_c_consumed,0,0,Lower Canopy
k2_mort_o,low,prop_c_consumed,0,0,Lower Canopy
I',none,prop_c_consumed,0.6655004871012403,0.04676199549278559,Lower Canopy
h_overstory,none,prop_c_remain,0,0,Lower Canopy
h_understory,none,prop_c_remain,0,0,Lower Canopy
k_mort_u,low,prop_c_remain,0.4105108845080482,0.051998914827046674,Lower Canopy
k_consumption,low,prop_c_remain,0.5805591301326855,0.05906047183590455,Lower Canopy
k1_mort_o,low,prop_c_remain,0,0,Lower Canopy
k2_mort_o,low,prop_c_remain,0,0,Lower Canopy
I',none,prop_c_remain,0.5782647166194815,0.05754985262789892,Lower Canopy
